?SNDlib native format; type: network; version: 1.0
# network sun

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 86.00 534.00 )
  N2 ( 67.00 405.00 )
  N3 ( 82.00 303.00 )
  N4 ( 127.00 197.00 )
  N5 ( 197.00 119.00 )
  N6 ( 262.00 82.00 )
  N7 ( 346.00 73.00 )
  N8 ( 398.00 69.00 )
  N9 ( 445.00 81.00 )
  N10 ( 526.00 95.00 )
  N11 ( 623.00 245.00 )
  N12 ( 455.00 202.00 )
  N13 ( 429.00 274.00 )
  N14 ( 329.00 239.00 )
  N15 ( 528.00 348.00 )
  N16 ( 388.00 464.00 )
  N17 ( 418.00 353.00 )
  N18 ( 278.00 327.00 )
  N19 ( 181.00 355.00 )
  N20 ( 144.00 485.00 )
  N21 ( 139.00 588.00 )
  N22 ( 233.00 627.00 )
  N23 ( 365.00 645.00 )
  N24 ( 355.00 544.00 )
  N25 ( 534.00 566.00 )
  N26 ( 597.00 450.00 )
  N27 ( 246.00 506.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L69 ( N19 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 19.30 )
  L7 ( N4 N5 ) 0.00 0.00 0.00 0.00 ( 40.00 33.58 )
  L70 ( N24 N19 ) 0.00 0.00 0.00 0.00 ( 40.00 19.30 )
  L71 ( N16 N24 ) 0.00 0.00 0.00 0.00 ( 40.00 25.14 )
  L72 ( N24 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 25.14 )
  L73 ( N16 N26 ) 0.00 0.00 0.00 0.00 ( 40.00 7.87 )
  L74 ( N26 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 7.87 )
  L75 ( N15 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 10.05 )
  L76 ( N16 N15 ) 0.00 0.00 0.00 0.00 ( 40.00 10.05 )
  L77 ( N11 N15 ) 0.00 0.00 0.00 0.00 ( 40.00 8.14 )
  L78 ( N15 N11 ) 0.00 0.00 0.00 0.00 ( 40.00 8.14 )
  L79 ( N13 N15 ) 0.00 0.00 0.00 0.00 ( 40.00 9.78 )
  L8 ( N5 N4 ) 0.00 0.00 0.00 0.00 ( 40.00 33.58 )
  L80 ( N15 N13 ) 0.00 0.00 0.00 0.00 ( 40.00 9.78 )
  L81 ( N16 N17 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L82 ( N17 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L83 ( N16 N18 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L84 ( N18 N16 ) 0.00 0.00 0.00 0.00 ( 40.00 25.42 )
  L85 ( N17 N18 ) 0.00 0.00 0.00 0.00 ( 40.00 38.20 )
  L86 ( N18 N17 ) 0.00 0.00 0.00 0.00 ( 40.00 38.20 )
  L87 ( N5 N18 ) 0.00 0.00 0.00 0.00 ( 40.00 32.76 )
  L88 ( N18 N5 ) 0.00 0.00 0.00 0.00 ( 40.00 32.76 )
  L89 ( N14 N17 ) 0.00 0.00 0.00 0.00 ( 40.00 25.28 )
  L9 ( N5 N6 ) 0.00 0.00 0.00 0.00 ( 40.00 14.81 )
  L90 ( N17 N14 ) 0.00 0.00 0.00 0.00 ( 40.00 25.28 )
  L91 ( N5 N14 ) 0.00 0.00 0.00 0.00 ( 40.00 25.69 )
  L92 ( N14 N5 ) 0.00 0.00 0.00 0.00 ( 40.00 25.69 )
  L93 ( N6 N14 ) 0.00 0.00 0.00 0.00 ( 40.00 19.84 )
  L94 ( N14 N6 ) 0.00 0.00 0.00 0.00 ( 40.00 19.84 )
  L95 ( N7 N14 ) 0.00 0.00 0.00 0.00 ( 40.00 20.66 )
  L96 ( N14 N7 ) 0.00 0.00 0.00 0.00 ( 40.00 20.66 )
  L97 ( N13 N17 ) 0.00 0.00 0.00 0.00 ( 40.00 13.18 )
  L98 ( N17 N13 ) 0.00 0.00 0.00 0.00 ( 40.00 13.18 )
  L99 ( N12 N13 ) 0.00 0.00 0.00 0.00 ( 40.00 10.46 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( N13 N9 ) 1 10.00 UNLIMITED
  D2 ( N13 N22 ) 1 7.00 UNLIMITED
  D3 ( N13 N10 ) 1 7.00 UNLIMITED
  D4 ( N13 N15 ) 1 6.00 UNLIMITED
  D5 ( N13 N12 ) 1 4.00 UNLIMITED
  D6 ( N13 N3 ) 1 11.00 UNLIMITED
  D7 ( N13 N1 ) 1 9.00 UNLIMITED
  D8 ( N13 N8 ) 1 2.00 UNLIMITED
  D9 ( N13 N26 ) 1 10.00 UNLIMITED
  D10 ( N13 N17 ) 1 7.00 UNLIMITED
  D11 ( N17 N10 ) 1 6.00 UNLIMITED
  D12 ( N17 N21 ) 1 7.00 UNLIMITED
  D13 ( N17 N19 ) 1 11.00 UNLIMITED
  D14 ( N17 N15 ) 1 4.00 UNLIMITED
  D15 ( N17 N7 ) 1 10.00 UNLIMITED
  D16 ( N17 N14 ) 1 11.00 UNLIMITED
  D17 ( N17 N1 ) 1 14.00 UNLIMITED
  D18 ( N17 N4 ) 1 13.00 UNLIMITED
  D19 ( N17 N22 ) 1 8.00 UNLIMITED
  D20 ( N17 N25 ) 1 9.00 UNLIMITED
  D21 ( N9 N26 ) 1 4.00 UNLIMITED
  D22 ( N9 N8 ) 1 6.00 UNLIMITED
  D23 ( N9 N23 ) 1 3.00 UNLIMITED
  D24 ( N9 N7 ) 1 13.00 UNLIMITED
  D25 ( N9 N10 ) 1 14.00 UNLIMITED
  D26 ( N9 N12 ) 1 2.00 UNLIMITED
  D27 ( N9 N3 ) 1 4.00 UNLIMITED
  D28 ( N9 N21 ) 1 12.00 UNLIMITED
  D29 ( N9 N11 ) 1 13.00 UNLIMITED
  D30 ( N9 N13 ) 1 1.00 UNLIMITED
  D31 ( N9 N19 ) 1 6.00 UNLIMITED
  D32 ( N3 N23 ) 1 5.00 UNLIMITED
  D33 ( N3 N1 ) 1 8.00 UNLIMITED
  D34 ( N3 N26 ) 1 10.00 UNLIMITED
  D35 ( N3 N5 ) 1 14.00 UNLIMITED
  D36 ( N3 N16 ) 1 2.00 UNLIMITED
  D37 ( N3 N15 ) 1 3.00 UNLIMITED
  D38 ( N3 N11 ) 1 7.00 UNLIMITED
  D39 ( N3 N21 ) 1 5.00 UNLIMITED
  D40 ( N3 N20 ) 1 10.00 UNLIMITED
  D41 ( N3 N14 ) 1 1.00 UNLIMITED
  D42 ( N5 N21 ) 1 7.00 UNLIMITED
  D43 ( N5 N12 ) 1 7.00 UNLIMITED
  D44 ( N5 N4 ) 1 9.00 UNLIMITED
  D45 ( N5 N22 ) 1 5.00 UNLIMITED
  D46 ( N5 N7 ) 1 3.00 UNLIMITED
  D47 ( N5 N8 ) 1 2.00 UNLIMITED
  D48 ( N5 N25 ) 1 7.00 UNLIMITED
  D49 ( N5 N23 ) 1 4.00 UNLIMITED
  D50 ( N5 N3 ) 1 7.00 UNLIMITED
  D51 ( N6 N11 ) 1 1.00 UNLIMITED
  D52 ( N6 N16 ) 1 12.00 UNLIMITED
  D53 ( N6 N12 ) 1 1.00 UNLIMITED
  D54 ( N6 N26 ) 1 5.00 UNLIMITED
  D55 ( N6 N25 ) 1 6.00 UNLIMITED
  D56 ( N6 N13 ) 1 2.00 UNLIMITED
  D57 ( N6 N4 ) 1 14.00 UNLIMITED
  D58 ( N6 N22 ) 1 1.00 UNLIMITED
  D59 ( N6 N15 ) 1 13.00 UNLIMITED
  D60 ( N6 N17 ) 1 11.00 UNLIMITED
  D61 ( N6 N2 ) 1 6.00 UNLIMITED
  D62 ( N3 N12 ) 1 13.00 UNLIMITED
  D63 ( N17 N16 ) 1 10.00 UNLIMITED
  D64 ( N17 N23 ) 1 2.00 UNLIMITED
  D65 ( N3 N2 ) 1 3.00 UNLIMITED
  D66 ( N3 N4 ) 1 14.00 UNLIMITED
  D67 ( N9 N16 ) 1 2.00 UNLIMITED
)

# ADMISSIBLE PATHS SECTION
#
# <demand_id> ( {<path_id> ( <link_id>+ )}+ )

ADMISSIBLE_PATHS ( 
)
