?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 283.00 248.00 )
  N2 ( 451.00 201.00 )
  N3 ( 516.00 230.00 )
  N4 ( 324.00 43.00 )
  N5 ( 459.00 31.00 )
  N6 ( 339.00 151.00 )
  N7 ( 185.00 323.00 )
  N8 ( 384.00 298.00 )
  N9 ( 318.00 353.00 )
  N10 ( 147.00 403.00 )
  N11 ( 56.00 132.00 )
  N12 ( 253.00 466.00 )
  N13 ( 216.00 59.00 )
  N14 ( 97.00 218.00 )
  N15 ( 463.00 431.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( N1 N6 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( N1 N7 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( N1 N8 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( N2 N3 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( N2 N5 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1790000.00 4000.00 1930000.00 )
  L6 ( N2 N6 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( N3 N5 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( N3 N8 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( N4 N5 ) 0.00 0.00 67.80 0.00 ( 1000.00 1295000.00 4000.00 1435000.00 )
  L10 ( N4 N6 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1925000.00 4000.00 2065000.00 )
  L11 ( N6 N13 ) 2000.00 0.00 67.80 0.00 ( 1000.00 3200000.00 4000.00 3340000.00 )
  L12 ( N7 N10 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1145000.00 4000.00 1285000.00 )
  L13 ( N7 N14 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1445000.00 4000.00 1585000.00 )
  L14 ( N8 N9 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1115000.00 4000.00 1255000.00 )
  L15 ( N8 N15 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1190000.00 4000.00 1330000.00 )
  L16 ( N9 N10 ) 2000.00 0.00 67.80 0.00 ( 1000.00 935000.00 4000.00 1075000.00 )
  L17 ( N9 N12 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1130000.00 4000.00 1270000.00 )
  L18 ( N9 N15 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1070000.00 4000.00 1210000.00 )
  L19 ( N10 N12 ) 0.00 0.00 67.80 0.00 ( 1000.00 1505000.00 4000.00 1645000.00 )
  L20 ( N11 N13 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1085000.00 4000.00 1225000.00 )
  L21 ( N11 N14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1700000.00 4000.00 1840000.00 )
  L22 ( N13 N14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 830000.00 4000.00 970000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D61 ( N5 N6 ) 1 98.00 UNLIMITED
  D62 ( N5 N7 ) 1 37.00 UNLIMITED
  D63 ( N5 N8 ) 1 120.00 UNLIMITED
  D64 ( N5 N9 ) 1 61.00 UNLIMITED
  D65 ( N5 N10 ) 1 61.00 UNLIMITED
  D66 ( N5 N11 ) 1 37.00 UNLIMITED
  D67 ( N5 N12 ) 1 86.00 UNLIMITED
  D68 ( N5 N13 ) 1 85.00 UNLIMITED
  D69 ( N5 N14 ) 1 38.00 UNLIMITED
  D70 ( N5 N15 ) 1 86.00 UNLIMITED
  D71 ( N6 N1 ) 1 1903.00 UNLIMITED
  D72 ( N6 N2 ) 1 7275.00 UNLIMITED
  D73 ( N6 N3 ) 1 298.00 UNLIMITED
  D74 ( N6 N4 ) 1 1106.00 UNLIMITED
  D75 ( N6 N5 ) 1 121.00 UNLIMITED
  D76 ( N6 N7 ) 1 97.00 UNLIMITED
  D77 ( N6 N8 ) 1 874.00 UNLIMITED
  D78 ( N6 N9 ) 1 86.00 UNLIMITED
  D79 ( N6 N10 ) 1 575.00 UNLIMITED
  D80 ( N6 N11 ) 1 181.00 UNLIMITED
  D81 ( N6 N12 ) 1 132.00 UNLIMITED
  D82 ( N6 N13 ) 1 158.00 UNLIMITED
  D83 ( N6 N14 ) 1 240.00 UNLIMITED
  D84 ( N6 N15 ) 1 264.00 UNLIMITED
  D85 ( N7 N1 ) 1 536.00 UNLIMITED
  D86 ( N7 N2 ) 1 2189.00 UNLIMITED
  D87 ( N7 N3 ) 1 49.00 UNLIMITED
  D88 ( N7 N4 ) 1 84.00 UNLIMITED
  D89 ( N7 N5 ) 1 48.00 UNLIMITED
  D90 ( N7 N6 ) 1 120.00 UNLIMITED
  D91 ( N7 N8 ) 1 61.00 UNLIMITED
  D92 ( N7 N9 ) 1 265.00 UNLIMITED
  D93 ( N7 N10 ) 1 193.00 UNLIMITED
  D94 ( N7 N11 ) 1 97.00 UNLIMITED
  D95 ( N7 N12 ) 1 60.00 UNLIMITED
  D96 ( N7 N13 ) 1 61.00 UNLIMITED
  D97 ( N7 N14 ) 1 73.00 UNLIMITED
  D98 ( N7 N15 ) 1 192.00 UNLIMITED
  D99 ( N8 N1 ) 1 691.00 UNLIMITED
  D100 ( N8 N2 ) 1 5884.00 UNLIMITED
  D101 ( N8 N3 ) 1 1368.00 UNLIMITED
  D102 ( N8 N4 ) 1 192.00 UNLIMITED
  D103 ( N8 N5 ) 1 143.00 UNLIMITED
  D104 ( N8 N6 ) 1 1047.00 UNLIMITED
  D105 ( N8 N7 ) 1 73.00 UNLIMITED
  D106 ( N8 N9 ) 1 204.00 UNLIMITED
  D107 ( N8 N10 ) 1 181.00 UNLIMITED
  D108 ( N8 N11 ) 1 97.00 UNLIMITED
  D109 ( N8 N12 ) 1 145.00 UNLIMITED
  D110 ( N8 N13 ) 1 157.00 UNLIMITED
  D111 ( N8 N14 ) 1 241.00 UNLIMITED
  D112 ( N8 N15 ) 1 516.00 UNLIMITED
  D113 ( N9 N1 ) 1 584.00 UNLIMITED
  D114 ( N9 N2 ) 1 299.00 UNLIMITED
  D115 ( N9 N3 ) 1 108.00 UNLIMITED
  D116 ( N9 N4 ) 1 84.00 UNLIMITED
  D117 ( N9 N5 ) 1 73.00 UNLIMITED
  D118 ( N9 N6 ) 1 108.00 UNLIMITED
  D119 ( N9 N7 ) 1 322.00 UNLIMITED
  D120 ( N9 N8 ) 1 250.00 UNLIMITED
  D121 ( N9 N10 ) 1 204.00 UNLIMITED
  D122 ( N9 N11 ) 1 73.00 UNLIMITED
  D123 ( N9 N12 ) 1 276.00 UNLIMITED
  D124 ( N9 N13 ) 1 61.00 UNLIMITED
  D125 ( N9 N14 ) 1 120.00 UNLIMITED
  D126 ( N9 N15 ) 1 252.00 UNLIMITED
  D127 ( N10 N1 ) 1 678.00 UNLIMITED
  D128 ( N10 N2 ) 1 2331.00 UNLIMITED
  D129 ( N10 N3 ) 1 120.00 UNLIMITED
  D130 ( N10 N4 ) 1 286.00 UNLIMITED
  D131 ( N10 N5 ) 1 73.00 UNLIMITED
  D132 ( N10 N6 ) 1 690.00 UNLIMITED
  D133 ( N10 N7 ) 1 228.00 UNLIMITED
  D134 ( N10 N8 ) 1 215.00 UNLIMITED
  D135 ( N10 N9 ) 1 250.00 UNLIMITED
  D136 ( N10 N11 ) 1 419.00 UNLIMITED
  D137 ( N10 N12 ) 1 1209.00 UNLIMITED
  D138 ( N10 N13 ) 1 910.00 UNLIMITED
  D139 ( N10 N14 ) 1 1137.00 UNLIMITED
  D140 ( N10 N15 ) 1 670.00 UNLIMITED
  D141 ( N11 N1 ) 1 298.00 UNLIMITED
  D142 ( N11 N2 ) 1 905.00 UNLIMITED
  D143 ( N11 N3 ) 1 120.00 UNLIMITED
  D144 ( N11 N4 ) 1 180.00 UNLIMITED
  D145 ( N11 N5 ) 1 49.00 UNLIMITED
  D146 ( N11 N6 ) 1 215.00 UNLIMITED
  D147 ( N11 N7 ) 1 120.00 UNLIMITED
  D148 ( N11 N8 ) 1 120.00 UNLIMITED
  D149 ( N11 N9 ) 1 84.00 UNLIMITED
  D150 ( N11 N10 ) 1 500.00 UNLIMITED
  D151 ( N11 N12 ) 1 240.00 UNLIMITED
  D152 ( N11 N13 ) 1 612.00 UNLIMITED
  D153 ( N11 N14 ) 1 384.00 UNLIMITED
  D154 ( N11 N15 ) 1 157.00 UNLIMITED
  D155 ( N12 N1 ) 1 833.00 UNLIMITED
  D156 ( N12 N2 ) 1 1298.00 UNLIMITED
  D157 ( N12 N3 ) 1 180.00 UNLIMITED
  D158 ( N12 N4 ) 1 179.00 UNLIMITED
  D159 ( N12 N5 ) 1 108.00 UNLIMITED
  D160 ( N12 N6 ) 1 156.00 UNLIMITED
  D161 ( N12 N7 ) 1 72.00 UNLIMITED
  D162 ( N12 N8 ) 1 179.00 UNLIMITED
  D163 ( N12 N9 ) 1 334.00 UNLIMITED
  D164 ( N12 N10 ) 1 1439.00 UNLIMITED
  D165 ( N12 N11 ) 1 286.00 UNLIMITED
  D166 ( N12 N13 ) 1 97.00 UNLIMITED
  D167 ( N12 N14 ) 1 97.00 UNLIMITED
  D168 ( N12 N15 ) 1 934.00 UNLIMITED
  D169 ( N13 N1 ) 1 393.00 UNLIMITED
  D170 ( N13 N2 ) 1 678.00 UNLIMITED
  D171 ( N13 N3 ) 1 107.00 UNLIMITED
  D172 ( N13 N4 ) 1 1819.00 UNLIMITED
  D173 ( N13 N5 ) 1 107.00 UNLIMITED
  D174 ( N13 N6 ) 1 192.00 UNLIMITED
  D175 ( N13 N7 ) 1 72.00 UNLIMITED
  D176 ( N13 N8 ) 1 191.00 UNLIMITED
  D177 ( N13 N9 ) 1 72.00 UNLIMITED
  D178 ( N13 N10 ) 1 1082.00 UNLIMITED
  D179 ( N13 N11 ) 1 727.00 UNLIMITED
  D180 ( N13 N12 ) 1 121.00 UNLIMITED
  D181 ( N13 N14 ) 1 313.00 UNLIMITED
  D182 ( N13 N15 ) 1 193.00 UNLIMITED
  D183 ( N14 N1 ) 1 1855.00 UNLIMITED
  D184 ( N14 N2 ) 1 500.00 UNLIMITED
  D185 ( N14 N3 ) 1 48.00 UNLIMITED
  D186 ( N14 N4 ) 1 191.00 UNLIMITED
  D187 ( N14 N5 ) 1 49.00 UNLIMITED
  D188 ( N14 N6 ) 1 286.00 UNLIMITED
  D189 ( N14 N7 ) 1 85.00 UNLIMITED
  D190 ( N14 N8 ) 1 287.00 UNLIMITED
  D191 ( N14 N9 ) 1 143.00 UNLIMITED
  D192 ( N14 N10 ) 1 1355.00 UNLIMITED
  D193 ( N14 N11 ) 1 464.00 UNLIMITED
  D194 ( N14 N12 ) 1 120.00 UNLIMITED
  D195 ( N14 N13 ) 1 370.00 UNLIMITED
  D196 ( N14 N15 ) 1 97.00 UNLIMITED
  D197 ( N15 N1 ) 1 833.00 UNLIMITED
  D198 ( N15 N2 ) 1 2212.00 UNLIMITED
  D199 ( N15 N3 ) 1 512.00 UNLIMITED
  D200 ( N15 N4 ) 1 227.00 UNLIMITED
  D201 ( N15 N5 ) 1 108.00 UNLIMITED
  D202 ( N15 N6 ) 1 321.00 UNLIMITED
  D203 ( N15 N7 ) 1 227.00 UNLIMITED
  D204 ( N15 N8 ) 1 619.00 UNLIMITED
  D205 ( N15 N9 ) 1 299.00 UNLIMITED
  D206 ( N15 N10 ) 1 797.00 UNLIMITED
  D207 ( N15 N11 ) 1 191.00 UNLIMITED
  D208 ( N15 N12 ) 1 1118.00 UNLIMITED
  D209 ( N15 N13 ) 1 228.00 UNLIMITED
  D210 ( N15 N14 ) 1 120.00 UNLIMITED
)

# ADMISSIBLE PATHS SECTION
#
# <demand_id> ( {<path_id> ( <link_id>+ )}+ )

ADMISSIBLE_PATHS ( 
)
